"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-137","137","?NA-137 Sheikhupura-VII","Rai Mansab Ali Khan","Pakistan Muslim League (Q)","Col ВЁ Muhammad Nisar Ahmed Khan.","Pakistan Peoples Party Parliamentarians","6.0","46.05067437","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-138","138","NA-138 Kasur-I","Sardar Tufail Ahmad Khan","Pakistan Muslim League (Q)","Rao Mazhar Hayat khan","Pakistan Muslim League (N)","5.4","48.81962308","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-140","140","NA-140 Kasur-III","Mian Khursheed Mehmood Kasuri","Pakistan Muslim League (Q)","Molana Moeen Ud Din Lakhvi","Independent","0.7","47.05040015","Pakistan Muslim League (Q)","Independent"
2002,"NA-141","141","NA-141 Kasur-IV","Sardar Muhammad Asif Nakai","Pakistan Muslim League (Q)","Rana Mohd. Ishaque Khan","Pakistan Muslim League (N)","13.1","43.26099249","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-142","142","NA-142 Kasur-V","Sardar Muhammad. Asif Nakai","Pakistan Muslim League (Q)","Rana Mohd. Hayat Khan","Independent","13.0","47.64984153","Pakistan Muslim League (Q)","Independent"
2002,"NA-143","143","NA-143 Okara-I","Rai Muhammad Aslam Kharal","Pakistan Muslim League (Q)","Capt ВЁ Ghulam Mujtaba Kharal","Pakistan Peoples Party Parliamentarians","8.9","49.59696772","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-145","145","NA-145 Okara-III","Syed Gulzar Sabtain Shah","Pakistan Muslim League (Q)","Syed Samsam Ali shah Bukhari","Independent","0.6","46.34221998","Pakistan Muslim League (Q)","Independent"
2002,"NA-151","151","NA-151 Multan-IV","Mr.Sikandar Hayat Khan Bosan","Pakistan Muslim League (Q)","Syed Ahmad Mujtaba Gillani","Pakistan Peoples Party Parliamentarians","3.0","40.11650329","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-154","154","NA-154 Lodhran-I","Nawab Aman Ullah Khan","Pakistan Muslim League (Q)","Mirza Muhammad Nasir Baig","Pakistan Peoples Party Parliamentarians","10.0","54.31821882","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-155","155","NA-155 Lodhran-II","Mr.Muhammad Akhtar Khan Kanju","Pakistan Muslim League (Q)","Rana Rab Nawaz Noon","Pakistan Peoples Party Parliamentarians","23.5","53.85832522","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-159","159","?NA-159 Khanewal-IV","Malik Ghulam Murtaza Maitla","Pakistan Muslim League (Q)","Ch. Iftikhar Nazir","Pakistan Peoples Party Parliamentarians","4.0","54.68412953","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-162","162","NA-162 Sahiwal-III","Rai Aziz Ullah Khan","Pakistan Muslim League (Q)","Sheikh Javed Rafi","Pakistan Peoples Party Parliamentarians","22.1","48.71564185","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-164","164","NA-164 Pakpattan-I","Pir Muhammad Shah Khaggah","Pakistan Muslim League (Q)","Rao Muhammad Hashim Khan","Pakistan Peoples Party Parliamentarians","15.8","53.19784376","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-165","165","NA-165 Pakpattan-II","Mr.Ahmed Raza Manika","Pakistan Muslim League (Q)","Mr.Mahmood Ahmed Khan","Pakistan Muslim League (N)","7.2","49.17253334","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-166","166","NA-166 Pakpattan-III","Dr. Junaid Mumtaz Joiya","Pakistan Muslim League (Q)","Rana Zahid Hussain Khan","Pakistan Muslim League (N)","1.6","49.97891930","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-167","167","NA-167 Vehari-I","Ch. Nazir Ahmad Jat","Pakistan Muslim League (Q)","Mr.Mehmood Akhtar Ghomman","Pakistan Peoples Party Parliamentarians","15.3","47.07647698","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
